name,sku,status,quantity,my_price_cad,official_price_usd,official_url,image_url,source_column_1,source_column_12,source_column_2,source_title,source_price,source_plus_gst,source_sell_price,source_35_percent,source_profit,source_profit_percent,source_status,source_type,source_summary_status,source_summary_value,source_summary_count,source_summary_total,source_extra
Amuseables Siofra Shamrock Bag Charm,A4SHMBC,Not in stock,0,70.00,35.00,https://us.jellycat.com/amuseables-shamrock-bag-charm/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Siofra+Shamrock+Bag+Charm&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Siofra Shamrock Bag Charm,Jellycat Amuseables Siofra Shamrock Bag Charm,48.00,50.40,70.00,70.00,19.60,38.89%,,,,,,,
Amuseables Soyella Edamame Bean,A4EDA,Not in stock,0,55.00,25.00,https://us.jellycat.com/amuseables-soyella-edamame-bean/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Soyella+Edamame+Bean&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Soyella Edamame Bean,Jellycat Amuseables Soyella Edamame Bean,35.00,36.75,55.00,50.00,18.25,49.66%,,,,,,,
Amuseables Space Comet,A4COM,Not in stock,0,85.00,45.00,https://us.jellycat.com/amuseables-space-comet/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Space+Comet&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Space Comet,Jellycat Amuseables Space Comet,62.00,65.10,85.00,90.00,19.90,30.57%,,,,,,,
Amuseables Stratto Cloud,A2CL,Not in stock,0,70.00,33.00,https://us.jellycat.com/amuseables-cloud/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Stratto+Cloud&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Stratto Cloud,Jellycat Amuseables Stratto Cloud,46.00,48.30,70.00,65.00,21.70,44.93%,,,,,,,
Amuseables Sun 'Roller Skates',A2SUNRS,Not in stock,0,110.00,60.00,https://us.jellycat.com/amuseables-sun-roller-skates/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Sun+%27Roller+Skates%27&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Sun 'Roller Skates',Jellycat Amuseables Sun 'Roller Skates',85.00,89.25,110.00,120.00,20.75,23.25%,,,,,,,
Amuseables Sweetcorn,A4SWEE,Not in stock,0,100.00,55.00,https://us.jellycat.com/amuseables-sweetcorn/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Sweetcorn&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Sweetcorn,Jellycat Amuseables Sweetcorn,75.00,78.75,100.00,105.00,21.25,26.98%,,,,,,,
Amuseables Taco,,Not in stock,0,55.00,,https://us.jellycat.com/search.php?search_query=Amuseables+Taco,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Taco&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Taco,Jellycat Amuseables Taco,35.00,36.75,55.00,50.00,18.25,49.66%,,,,,,,
Amuseables Watering Can,A2WC,Not in stock,0,110.00,60.00,https://us.jellycat.com/amuseables-watering-can/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Watering+Can&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Watering Can,Jellycat Amuseables Watering Can,85.00,89.25,110.00,120.00,20.75,23.25%,,,,,,,
Amuseables Zapperty Lightning Bolt,A2BLT,Not in stock,0,85.00,45.00,https://us.jellycat.com/amuseables-zapperty-lightning-bolt/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Zapperty+Lightning+Bolt&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Zapperty Lightning Bolt,Jellycat Amuseables Zapperty Lightning Bolt,62.00,65.10,85.00,90.00,19.90,30.57%,,,,,,,
Aruba Coconut,,Sold,0,60.00,,https://us.jellycat.com/search.php?search_query=Aruba+Coconut,https://tse2.mm.bing.net/th?q=Jellycat+Aruba+Coconut&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Aruba Coconut,Jellycat Aruba Coconut,49.50,51.98,60.00,70.00,8.03,15.44%,1-Sold,Summer,,,,,
